Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000745474052696616,0.0002774983219874,0.0832601381084502,0,0,0,3.44468681093337,0.078805827276942,0.000214086766267844,0.000187837957540265,0.111980891040282,4.76450897430536E-05,0.161356059476463,0,0,0,0,0,0,package://shadow_description/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://shadow_description/meshes/base_link.STL,,2024_03_15_Cajon_shadow-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tray,-0.023164,-9.6111E-05,0.45173,0,0,0,13.876,0.48663,0.00012307,-0.013906,0.51896,0.00011489,0.34267,0,0,0,0,0,0,package://shadow_description/meshes/tray.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://shadow_description/meshes/tray.STL,,Shadow_Base_2-1,Origin_J_torso,Axis_base_link_to_tray,base_link_to_tray,fixed,0,0,0.21,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bpearl,-0.00091895,3.1634E-05,-0.032289,0,0,0,1.4687,0.0014549,-5.8438E-06,-9.9232E-07,0.0014301,5.8223E-07,0.0024927,0,0,0,0,0,0,package://shadow_description/meshes/bpearl.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://shadow_description/meshes/bpearl.STL,,RS_Bpearl-1,Origin_J_Bpearl,Axis_tray_to_bpearl,tray_to_bpearl,fixed,0.139999999779585,0,0.46759356994,3.14159265358979,0,0,tray,0,0,0,,,,,,,,,,,,
neck,-0.0056334,0.00028579,0.10602,0,0,0,1.0506,0.0094319,6.9962E-06,-0.00016541,0.0092839,-3.9699E-05,0.0022392,0,0,0,0,0,0,package://shadow_description/meshes/neck.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://shadow_description/meshes/neck.STL,,Shadow_Cuello_2-1;fix_zed-1,Origin_J_Cuello,,tray_to_neck,fixed,-0.16118,0,0.56363,0,0,0,tray,0,0,0,,,,,,,,,,,,
zed_camera,-0.00086754,-0.059999,-0.00018455,0,0,0,0.16711,0.0003828,3.2819E-09,-6.4524E-08,3.2467E-05,1.3858E-09,0.00039051,0,0,0,0,0,0,package://shadow_description/meshes/zed_camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://shadow_description/meshes/zed_camera.STL,,ZED2i-1/ZED2i.step-1/ZED2_IP_Outer_with_lens.step-1,Origin_J_Zed2i,,zed_camera_link,fixed,0.08461,0.06,0.16897,0,0,0,neck,0,0,0,,,,,,,,,,,,
helios,0.00098097,0.00085821,-0.014039,0,0,0,0.81549,0.00093241,4.9199E-06,-2.2574E-06,0.00093157,-1.4544E-06,0.001563,0,0,0,0,0,0,package://shadow_description/meshes/helios.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://shadow_description/meshes/helios.STL,,RS_Helios-1,Origin_J_Helios,Axis1 <Shadow_Cuello_2-1>,neck_to_helios,fixed,-0.0068186,0,0.30359,0,0,0,neck,0,0,0,,,,,,,,,,,,
cap,1.2124E-06,-1.2649E-06,0.019457,0,0,0,0.076724,9.7004E-05,-2.7874E-08,1.7834E-09,9.1333E-05,-2.2465E-09,0.00012452,0,0,0,0,0,0,package://shadow_description/meshes/cap.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://shadow_description/meshes/cap.STL,,Gorro-1,Origin_J_Gorra,,helios_to_cup,fixed,0.0004128,-0.0012644,0.048746,0,0,0,helios,0,0,0,,,,,,,,,,,,
ricoh_theta_z1,1.5445E-08,-0.0012514,-0.041268,0,0,0,0.13859,0.00019024,1.7749E-09,-8.7242E-10,0.00017166,1.2162E-08,3.0109E-05,0,0,0,0,0,0,package://shadow_description/meshes/ricoh_theta_z1.STL,0.15294,0,0.031373,1,0,0,0,0,0,0,package://shadow_description/meshes/ricoh_theta_z1.STL,,Ricoh-Theta-1,Origin_J_Ricoh,,cap_to_ricoh_theta_z1,fixed,0,0.0012644,0.15634,0,0,0,cap,0,0,0,,,,,,,,,,,,
motor_left,7.1552E-06,-0.0093383,0.006605,0,0,0,16.872,0.040965,-1.0969E-08,-1.0808E-07,0.081815,0.00052235,0.05211,0,0,0,0,0,0,package://shadow_description/meshes/motor_left.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://shadow_description/meshes/motor_left.STL,,2024_03_15_Ensamblaje_amortiguador-5;Guardabarros_diferencial-2,Origin_J_Motor,,base_link_to_motor_left,fixed,0,0.26107,0.03529,0,0,0,base_link,0,0,0,,,,,,,,,,,,
motor_right,0.00074547,0.0002775,0.08326,0,0,0,3.4447,0.078806,0.00021409,0.00018784,0.11198,4.7645E-05,0.16136,0,0,0,0,0,0,package://shadow_description/meshes/motor_right.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://shadow_description/meshes/motor_right.STL,,2024_03_15_Ensamblaje_amortiguador-6;Guardabarros_diferencial-1,Origin_J_Motor_2,,base_link_to_motor_right,fixed,0,-0.26107,0.03529,0,0,0,base_link,0,0,0,,,,,,,,,,,,
